event_id,title,category_type,event_category_name,venue_name,city,state,stats_total_quantity,get_in_price,event_utc_datetime
21483216,Cleveland Guardians at Chicago White Sox,SPORT,MLB Baseball,Rate Field,Chicago,IL,17107,15.0,2026-06-23 23:40:00+00:00
21483123,Cleveland Guardians at Chicago White Sox,SPORT,MLB Baseball,Rate Field,Chicago,IL,16335,20.0,2026-06-22 23:40:00+00:00
21483339,Cleveland Guardians at Chicago White Sox,SPORT,MLB Baseball,Rate Field,Chicago,IL,16255,19.0,2026-06-24 18:10:00+00:00
90571702,Monster Jam,SPORT,Extreme Sports,Acrisure Stadium,Pittsburgh,PA,15352,48.0,2026-06-20 21:00:00+00:00
21483346,Boston Red Sox at Colorado Rockies,SPORT,MLB Baseball,Coors Field,Denver,CO,14894,25.0,2026-06-24 19:10:00+00:00
21483128,Boston Red Sox at Colorado Rockies,SPORT,MLB Baseball,Coors Field,Denver,CO,14570,28.0,2026-06-23 00:40:00+00:00
21483223,Boston Red Sox at Colorado Rockies,SPORT,MLB Baseball,Coors Field,Denver,CO,14413,24.0,2026-06-24 00:40:00+00:00
21482911,Pittsburgh Pirates at Colorado Rockies (Soccer Jersey Giveaway),SPORT,MLB Baseball,Coors Field,Denver,CO,14339,27.0,2026-06-21 01:10:00+00:00
21483092,Pittsburgh Pirates at Colorado Rockies (Fathers Day Hawaiian Shirt Giveaway),SPORT,MLB Baseball,Coors Field,Denver,CO,14036,25.0,2026-06-21 19:10:00+00:00
135969017,Ye - Kanye West,CONCERT,Rap/Hip Hop,Raymond James Stadium,Tampa,FL,13462,76.0,2026-06-27 00:00:00+00:00
21482675,Pittsburgh Pirates at Colorado Rockies,SPORT,MLB Baseball,Coors Field,Denver,CO,13003,24.0,2026-06-20 00:40:00+00:00
21483626,Philadelphia Phillies at New York Mets,SPORT,MLB Baseball,Citi Field,Flushing,NY,12722,29.0,2026-06-26 23:10:00+00:00
118828108,Usher and Chris Brown,CONCERT,R&B,Empower Field at Mile High,Denver,CO,12541,93.0,2026-06-27 01:00:00+00:00
21483627,Kansas City Royals at Chicago White Sox (Marshmello Postgame Concert),SPORT,MLB Baseball,Rate Field,Chicago,IL,12098,23.0,2026-06-26 23:40:00+00:00
21482904,Minnesota Twins at Arizona Diamondbacks,SPORT,MLB Baseball,Chase Field,Phoenix,AZ,10885,39.0,2026-06-21 02:10:00+00:00
84566646,2026 Summerfest - Don Toliver,CONCERT,Rap/Hip Hop,Henry Maier Festival Park - American Family Insurance Amphitheater,Milwaukee,WI,10014,121.0,2026-06-20 00:00:00+00:00
21482670,Minnesota Twins at Arizona Diamondbacks,SPORT,MLB Baseball,Chase Field,Phoenix,AZ,9855,37.0,2026-06-20 01:45:00+00:00
21483096,Minnesota Twins at Arizona Diamondbacks,SPORT,MLB Baseball,Chase Field,Phoenix,AZ,9699,49.0,2026-06-21 19:15:00+00:00
21483480,Chicago Cubs at New York Mets,SPORT,MLB Baseball,Citi Field,Flushing,NY,9639,28.0,2026-06-25 23:10:00+00:00
21482669,Cincinnati Reds at New York Yankees,SPORT,MLB Baseball,Yankee Stadium,Bronx,NY,9610,30.0,2026-06-19 23:05:00+00:00
