city,state,country,venue_name,event_count,median_get_in_price,avg_get_in_price
Chicago,IL,US,Goodman Theatre - Albert Theatre,7,10581.0,6092.86
Guadalajara,JAL,MX,Estadio Akron,3,1361.0,1374.33
Miami Gardens,FL,US,Hard Rock Stadium,2,970.5,970.5
North Adams,MA,US,MASS MoCA,2,905.0,905.0
Arlington,TX,US,AT&T Stadium,2,769.5,769.5
East Rutherford,NJ,US,MetLife Stadium,2,705.0,705.0
Foxborough,MA,US,Gillette Stadium,3,646.0,697.67
Stamford,CT,US,Curtain Call - Kweskin Theatre,5,630.0,522.0
Tulsa,OK,US,Tulsa Performing Arts Center - Liddy Doenges Theatre,2,627.0,627.0
Wildwood,NJ,US,Wildwood Beach,5,586.0,582.6
Houston,TX,US,NRG Stadium,3,573.0,493.33
Inglewood,CA,US,SoFi Stadium,2,532.0,532.0
Inglewood,CA,US,Kia Forum,6,513.5,489.83
Toronto,ON,CA,BMO Field,3,491.0,517.0
Pendleton,OR,US,Happy Canyon Arena,5,486.0,449.2
Wildwood,NJ,US,Barefoot Country Music Fest,3,460.0,443.0
Atlanta,GA,US,Mercedes-Benz Stadium,2,458.0,458.0
Philadelphia,PA,US,Lincoln Financial Field,3,434.0,546.0
Maspeth,NY,US,Ruins at Knockdown Center,2,410.5,410.5
Beach Haven,NJ,US,Surflight Theatre,12,406.0,402.0
The Woodlands,TX,US,Class Act Theater,5,406.0,401.2
Monterrey,NLE,MX,Estadio BBVA,2,400.5,400.5
Hanover,PA,US,Eichelberger Performing Arts Center,3,392.0,278.33
Virginia Beach,VA,US,Virginia Beach,2,356.5,356.5
Midland,MI,US,Tailgate N Tallboys - Midland,2,353.5,353.5
New York,NY,US,Lincoln Center - Claire Tow Theater,8,346.0,344.13
New York,NY,US,Masquerade,2,342.5,342.5
Virginia Beach,VA,US,Virginia Beach Oceanfront,2,341.5,341.5
Nashville,TN,US,Tennessee Performing Arts Center - Andrew Jackson Hall,10,340.0,422.5
Stratford,ON,CA,Tom Patterson Theatre,2,337.0,337.0
Vancouver,BC,CA,BC Place Stadium,3,332.0,383.33
Nashville,TN,US,Marathon Music Works,2,330.5,330.5
Kansas City,MO,US,GEHA Field at Arrowhead Stadium,2,318.5,318.5
Toronto,ON,CA,Royal Alexandra Theatre,9,318.0,318.0
Santa Clara,CA,US,Levi's Stadium,3,317.0,283.33
Picton,ON,CA,Base31,2,314.0,314.0
Cadott,WI,US,Chippewa Valley Country Fest,3,310.0,359.33
Stratford,ON,CA,Stratford Avon Theatre,9,301.0,295.44
Toronto,ON,CA,Princess of Wales Theatre,7,296.0,224.0
Las Vegas,NV,US,PH Live at Planet Hollywood,3,295.0,442.33
Missoula,MT,US,Missoula County Fairgrounds,3,293.0,309.33
Winsted,MN,US,Winstock Country Music Festival Grounds,3,292.0,287.0
Brainerd,MN,US,Brainerd International Raceway,3,284.0,202.0
Fort Worth,TX,US,Bass Performance Hall,5,283.0,279.8
Southampton,NY,US,Shinnecock Hills Golf Club,4,281.0,276.0
Grass Valley,CA,US,Nevada County Fairgrounds,4,271.0,311.0
Telluride,CO,US,Telluride Town Park,5,268.0,276.8
Sisters,OR,US,Sisters Rodeo Arena,2,261.0,261.0
Davenport,IA,US,Rhythm City Casino Resort,2,251.5,251.5
Eau Claire,WI,US,Eau Claire Event District,3,251.0,246.67
