source_file,offset,expected_count,loaded_count,delta
2026-05-27_to_2026-06-26__offset-0.json,0,100,100,0
2026-05-27_to_2026-06-26__offset-100.json,100,100,100,0
2026-05-27_to_2026-06-26__offset-200.json,200,100,100,0
2026-05-27_to_2026-06-26__offset-300.json,300,100,100,0
2026-05-27_to_2026-06-26__offset-400.json,400,100,100,0
2026-05-27_to_2026-06-26__offset-500.json,500,100,100,0
2026-05-27_to_2026-06-26__offset-600.json,600,100,100,0
2026-05-27_to_2026-06-26__offset-700.json,700,100,100,0
2026-05-27_to_2026-06-26__offset-800.json,800,100,100,0
2026-05-27_to_2026-06-26__offset-900.json,900,100,100,0
2026-05-27_to_2026-06-26__offset-1000.json,1000,100,100,0
2026-05-27_to_2026-06-26__offset-1100.json,1100,100,100,0
2026-05-27_to_2026-06-26__offset-1200.json,1200,100,100,0
2026-05-27_to_2026-06-26__offset-1300.json,1300,100,100,0
2026-05-27_to_2026-06-26__offset-1400.json,1400,100,100,0
2026-05-27_to_2026-06-26__offset-1500.json,1500,100,100,0
2026-05-27_to_2026-06-26__offset-1600.json,1600,100,100,0
2026-05-27_to_2026-06-26__offset-1700.json,1700,100,100,0
2026-05-27_to_2026-06-26__offset-1800.json,1800,100,100,0
2026-05-27_to_2026-06-26__offset-1900.json,1900,100,100,0
2026-05-27_to_2026-06-26__offset-2000.json,2000,100,100,0
2026-05-27_to_2026-06-26__offset-2100.json,2100,100,100,0
2026-05-27_to_2026-06-26__offset-2200.json,2200,100,100,0
2026-05-27_to_2026-06-26__offset-2300.json,2300,100,100,0
2026-05-27_to_2026-06-26__offset-2400.json,2400,100,100,0
2026-05-27_to_2026-06-26__offset-2500.json,2500,100,100,0
2026-05-27_to_2026-06-26__offset-2600.json,2600,100,100,0
2026-05-27_to_2026-06-26__offset-2700.json,2700,100,100,0
2026-05-27_to_2026-06-26__offset-2800.json,2800,100,100,0
2026-05-27_to_2026-06-26__offset-2900.json,2900,100,100,0
2026-05-27_to_2026-06-26__offset-3000.json,3000,100,100,0
2026-05-27_to_2026-06-26__offset-3100.json,3100,100,100,0
2026-05-27_to_2026-06-26__offset-3200.json,3200,100,100,0
2026-05-27_to_2026-06-26__offset-3300.json,3300,100,100,0
2026-05-27_to_2026-06-26__offset-3400.json,3400,100,100,0
2026-05-27_to_2026-06-26__offset-3500.json,3500,100,100,0
2026-05-27_to_2026-06-26__offset-3600.json,3600,100,100,0
2026-05-27_to_2026-06-26__offset-3700.json,3700,100,100,0
2026-05-27_to_2026-06-26__offset-3800.json,3800,100,100,0
2026-05-27_to_2026-06-26__offset-3900.json,3900,100,100,0
2026-05-27_to_2026-06-26__offset-4000.json,4000,100,100,0
2026-05-27_to_2026-06-26__offset-4100.json,4100,100,100,0
2026-05-27_to_2026-06-26__offset-4200.json,4200,100,100,0
2026-05-27_to_2026-06-26__offset-4300.json,4300,100,100,0
2026-05-27_to_2026-06-26__offset-4400.json,4400,100,100,0
2026-05-27_to_2026-06-26__offset-4500.json,4500,100,100,0
2026-05-27_to_2026-06-26__offset-4600.json,4600,100,100,0
2026-05-27_to_2026-06-26__offset-4700.json,4700,100,100,0
2026-05-27_to_2026-06-26__offset-4800.json,4800,100,100,0
2026-05-27_to_2026-06-26__offset-4900.json,4900,100,100,0
2026-05-27_to_2026-06-26__offset-5000.json,5000,100,100,0
2026-05-27_to_2026-06-26__offset-5100.json,5100,100,100,0
2026-05-27_to_2026-06-26__offset-5200.json,5200,100,100,0
2026-05-27_to_2026-06-26__offset-5300.json,5300,100,100,0
2026-05-27_to_2026-06-26__offset-5400.json,5400,100,100,0
2026-05-27_to_2026-06-26__offset-5500.json,5500,100,100,0
2026-05-27_to_2026-06-26__offset-5600.json,5600,100,100,0
2026-05-27_to_2026-06-26__offset-5700.json,5700,100,100,0
2026-05-27_to_2026-06-26__offset-5800.json,5800,100,100,0
2026-05-27_to_2026-06-26__offset-5900.json,5900,100,100,0
2026-05-27_to_2026-06-26__offset-6000.json,6000,100,100,0
2026-05-27_to_2026-06-26__offset-6100.json,6100,100,100,0
2026-05-27_to_2026-06-26__offset-6200.json,6200,100,100,0
2026-05-27_to_2026-06-26__offset-6300.json,6300,100,100,0
2026-05-27_to_2026-06-26__offset-6400.json,6400,100,100,0
2026-05-27_to_2026-06-26__offset-6500.json,6500,100,100,0
2026-05-27_to_2026-06-26__offset-6600.json,6600,100,100,0
2026-05-27_to_2026-06-26__offset-6700.json,6700,100,100,0
2026-05-27_to_2026-06-26__offset-6800.json,6800,100,100,0
2026-05-27_to_2026-06-26__offset-6900.json,6900,100,100,0
2026-05-27_to_2026-06-26__offset-7000.json,7000,100,100,0
2026-05-27_to_2026-06-26__offset-7100.json,7100,100,100,0
2026-05-27_to_2026-06-26__offset-7200.json,7200,100,100,0
2026-05-27_to_2026-06-26__offset-7300.json,7300,100,100,0
2026-05-27_to_2026-06-26__offset-7400.json,7400,100,100,0
2026-05-27_to_2026-06-26__offset-7500.json,7500,100,100,0
2026-05-27_to_2026-06-26__offset-7600.json,7600,100,100,0
2026-05-27_to_2026-06-26__offset-7700.json,7700,100,100,0
2026-05-27_to_2026-06-26__offset-7800.json,7800,100,100,0
2026-05-27_to_2026-06-26__offset-7900.json,7900,100,100,0
2026-05-27_to_2026-06-26__offset-8000.json,8000,100,100,0
2026-05-27_to_2026-06-26__offset-8100.json,8100,100,100,0
2026-05-27_to_2026-06-26__offset-8200.json,8200,100,100,0
2026-05-27_to_2026-06-26__offset-8300.json,8300,100,100,0
2026-05-27_to_2026-06-26__offset-8400.json,8400,100,100,0
2026-05-27_to_2026-06-26__offset-8500.json,8500,100,100,0
2026-05-27_to_2026-06-26__offset-8600.json,8600,100,100,0
2026-05-27_to_2026-06-26__offset-8700.json,8700,100,100,0
2026-05-27_to_2026-06-26__offset-8800.json,8800,100,100,0
2026-05-27_to_2026-06-26__offset-8900.json,8900,100,100,0
2026-05-27_to_2026-06-26__offset-9000.json,9000,100,100,0
2026-05-27_to_2026-06-26__offset-9100.json,9100,100,100,0
2026-05-27_to_2026-06-26__offset-9200.json,9200,100,100,0
2026-05-27_to_2026-06-26__offset-9300.json,9300,100,100,0
2026-05-27_to_2026-06-26__offset-9400.json,9400,100,100,0
2026-05-27_to_2026-06-26__offset-9500.json,9500,100,100,0
2026-05-27_to_2026-06-26__offset-9600.json,9600,100,100,0
2026-05-27_to_2026-06-26__offset-9700.json,9700,100,100,0
2026-05-27_to_2026-06-26__offset-9800.json,9800,100,100,0
2026-05-27_to_2026-06-26__offset-9900.json,9900,100,100,0
2026-05-27_to_2026-06-26__offset-10000.json,10000,100,100,0
2026-05-27_to_2026-06-26__offset-10100.json,10100,100,100,0
2026-05-27_to_2026-06-26__offset-10200.json,10200,100,100,0
2026-05-27_to_2026-06-26__offset-10300.json,10300,100,100,0
2026-05-27_to_2026-06-26__offset-10400.json,10400,100,100,0
2026-05-27_to_2026-06-26__offset-10500.json,10500,100,100,0
2026-05-27_to_2026-06-26__offset-10600.json,10600,100,100,0
2026-05-27_to_2026-06-26__offset-10700.json,10700,100,100,0
2026-05-27_to_2026-06-26__offset-10800.json,10800,100,100,0
2026-05-27_to_2026-06-26__offset-10900.json,10900,100,100,0
2026-05-27_to_2026-06-26__offset-11000.json,11000,100,100,0
2026-05-27_to_2026-06-26__offset-11100.json,11100,100,100,0
2026-05-27_to_2026-06-26__offset-11200.json,11200,100,100,0
2026-05-27_to_2026-06-26__offset-11300.json,11300,100,100,0
2026-05-27_to_2026-06-26__offset-11400.json,11400,100,100,0
2026-05-27_to_2026-06-26__offset-11500.json,11500,100,100,0
2026-05-27_to_2026-06-26__offset-11600.json,11600,100,100,0
2026-05-27_to_2026-06-26__offset-11700.json,11700,100,100,0
2026-05-27_to_2026-06-26__offset-11800.json,11800,100,100,0
2026-05-27_to_2026-06-26__offset-11900.json,11900,100,100,0
2026-05-27_to_2026-06-26__offset-12000.json,12000,100,100,0
2026-05-27_to_2026-06-26__offset-12100.json,12100,100,100,0
2026-05-27_to_2026-06-26__offset-12200.json,12200,100,100,0
2026-05-27_to_2026-06-26__offset-12300.json,12300,100,100,0
2026-05-27_to_2026-06-26__offset-12400.json,12400,100,100,0
2026-05-27_to_2026-06-26__offset-12500.json,12500,100,100,0
2026-05-27_to_2026-06-26__offset-12600.json,12600,100,100,0
2026-05-27_to_2026-06-26__offset-12700.json,12700,100,100,0
2026-05-27_to_2026-06-26__offset-12800.json,12800,100,100,0
2026-05-27_to_2026-06-26__offset-12900.json,12900,100,100,0
2026-05-27_to_2026-06-26__offset-13000.json,13000,100,100,0
2026-05-27_to_2026-06-26__offset-13100.json,13100,100,100,0
2026-05-27_to_2026-06-26__offset-13200.json,13200,100,100,0
2026-05-27_to_2026-06-26__offset-13300.json,13300,100,100,0
2026-05-27_to_2026-06-26__offset-13400.json,13400,100,100,0
2026-05-27_to_2026-06-26__offset-13500.json,13500,100,100,0
2026-05-27_to_2026-06-26__offset-13600.json,13600,100,100,0
2026-05-27_to_2026-06-26__offset-13700.json,13700,100,100,0
2026-05-27_to_2026-06-26__offset-13800.json,13800,100,100,0
2026-05-27_to_2026-06-26__offset-13900.json,13900,100,100,0
